id,year,title,url,read_depth,supports
T12,snapshot 2026-09-20,TabDDPM implementation,https://github.com/yandex-research/tab-ddpm/tree/b476257dd460b778ba09eb97f7a51d6490fa17f8,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T13,snapshot 2026-09-20,GReaT implementation,https://github.com/tabularis-ai/be_great/tree/616b2e74b396fa1f9c7ab4412b9928eec849159a,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T14,snapshot 2026-09-20,arfpy,https://github.com/bips-hb/arfpy/tree/8b63c1b3999981125b4af2828ff52cba8e29169d,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T15,accessed 2026-09-20,BlenderProc,https://github.com/DLR-RM/BlenderProc,Official README screened; not pinned/run,Rendered labeled-image extension reference; assets and full dependency licensing not assessed.
T16,accessed 2026-09-20,Distilabel,https://github.com/argilla-io/distilabel,Official README screened; not pinned/run,Text-generation and feedback pipeline extension reference; model-specific rights still required.
T17,accessed 2026-09-20,SimPy,https://simpy.readthedocs.io/en/latest/,Official overview screened; not run,"Discrete-event simulation capability, not a calibrated general domain model."
T18,accessed 2026-09-20,synthpop project,https://www.synthpop.org.uk/about-synthpop.html,Official author methodology overview,"Sequential synthesis, customization and confirmation against original data."
N01,accessed 2026-09-20,NIST SP 800-226 (March 2025 final),https://csrc.nist.gov/pubs/sp/800/226/final,Official publication page and publication text access,"DP implementation hazards, scope of guarantees and complete-system consideration."
N02,accessed 2026-09-20,NIST SDNist Synthetic Data Report Tool,https://www.nist.gov/services-resources/software/sdnist-synthetic-data-report-tool,Official software description screened,Independent evaluation and reporting reference; not run locally.
D01,accessed 2026-09-20,UCI Bank Marketing,https://archive.ics.uci.edu/dataset/222/bank+marketing,Primary description and original CSV download,"Task definition, provenance, attribution and license."
D02,accessed 2026-09-20,UCI Student Performance,https://archive.ics.uci.edu/dataset/320/student+performance,Primary description and original CSV download,"Subject subsets, earlier/final grades and use-case limitation."
D03,accessed 2026-09-20,UCI Wine Quality,https://archive.ics.uci.edu/dataset/186/wine+quality,Primary description and original CSV download,"Physicochemical features, outcome and attribution."
D04,accessed 2026-09-20,SmartNoise Synth documentation,https://docs.smartnoise.org/synth/index.html,Official fit/sample and transformation documentation,Preprocessing budget and model-specific domain requirements; version check still required.
